"VR","Version 2.0","","","","","","","","","","","","","","","","",""
"HD","Job ID","Job Name","Sheet Set Name","Category Name","Date and Time Started","Date and Time Completed","USERID","Profile ID","SheetName","Full File Path","Selected Layout Name","Page Setup Name","Named Page Setup Path","Device Name","Plot File Path","Paper Size Name","Plotted to 3DDWF","Final Status"
"JS","1","","","","2025-01-23 10:57:07 AM","","Work Test 2","<<Unnamed Profile>>","","","","","","","","","",""
"SH","1","","","","2025-01-23 10:57:08 AM","2025-01-23 10:57:13 AM","","","Unsaved Drawing1-Model","C:\Users\WORKTE~1\AppData\Local\Temp\BGPLOT~1\Drawing1.dwg","Model","","","_AutoCAD PDF (General Documentation).pc3","C:\Users\Work Test 2\Desktop\test.pdf","ANSI full bleed A (8.50 x 11.00 Inches)","0","Plotted with Warning(s)","WARNING: Incompatible or missing plot style "
"SH","1","","","","2025-01-23 10:57:13 AM","2025-01-23 10:57:18 AM","","","Unsaved Drawing1-A","C:\Users\WORKTE~1\AppData\Local\Temp\BGPLOT~1\Drawing1.dwg","A","","","_AutoCAD PDF (General Documentation).pc3","C:\Users\Work Test 2\Desktop\test.pdf","Previous paper size (914.40 x 3048.00 MM)","0","Plotted with Warning(s)","WARNING: Incompatible or missing plot style ","WARNING: Incompatible or missing plot style "
"SH","1","","","","","","","","Unsaved Drawing1-Metis Header Page PL","C:\Users\WORKTE~1\AppData\Local\Temp\BGPLOT~1\Drawing1.dwg","Metis Header Page PL","","","_AutoCAD PDF (General Documentation).pc3","C:\Users\Work Test 2\Desktop\test.pdf","Previous paper size (914.40 x 3048.00 MM)","0","Error(s) Did Not Plot","WARNING: Incompatible or missing plot style ","WARNING: Incompatible or missing plot style ","ERROR: Error "
"JF","1","","","","","2025-01-23 10:57:27 AM","","","","","","","","","","","","Plotted with Error(s) and Warning(s)","ERROR: Error saving PDF file; PDF file is open or uneditable. "
"JS","1","","","","2025-03-13 10:41:03 AM","","Work Test 2","COMPASS 2025","","","","","","","","","",""
"SH","1","","","","2025-03-13 10:41:03 AM","2025-03-13 10:41:06 AM","","","01514-24-PAD-R1-2 of 15","C:\Users\Work Test 2\Desktop\01514-24-PAD-R1.dwg","2 of 15","","","AutoCAD PDF (General Documentation).pc3","C:\Users\Work Test 2\Desktop\TEST.pdf","Previous paper size (215.90 x 355.60 MM)","0","Plotted"
"JF","1","","","","","2025-03-13 10:41:10 AM","","","","","","","","","","","","Plotted"
